title,author,genres,rating,chapters,reviews,url
Rebirth of a Fashionista: This Life Is Soo Last Season,Busy Beans (豆子很忙),Chinese;Romance;Modern Setting;Female Protagonist,45%,413 Chapters,47,https://www.wuxiaworld.com/novel/rebirth-of-a-fashionista-this-life-is-so-last-season
Rebirth of the Thief Who Roamed the World,Mad Snail,Chinese;Romance;Fantasy;Action;Virtual Reality;Crafting;Modern Setting,83%,996 Chapters,88,https://www.wuxiaworld.com/novel/rebirth-of-the-thief-who-roamed-the-world
Refining the Mountains and Rivers,Cafeteria Bun [食堂包子],Chinese;Fantasy;Xuanhuan;Action;Alchemy,53%,2227 Chapters,83,https://www.wuxiaworld.com/novel/refining-the-mountains-and-rivers
Renegade Immortal,Er Gen,Chinese;Fantasy;Xianxia;Action;Tragedy,82%,2094 Chapters,100,https://www.wuxiaworld.com/novel/renegade-immortal
Sage Monarch,Divine Dreamwalker [梦入神机],Chinese;Fantasy;Sci-fi;Xuanhuan;Action;Political Intrigue,57%,1601 Chapters,138,https://www.wuxiaworld.com/novel/sage-monarch
Skyfire Avenue,Tang Jia San Shao (唐家三少),Chinese;Fantasy;Sci-fi;Xianxia;Action;Virtual Reality;Superpowers;Cooking;Political Intrigue,71%,885 Chapters,19,https://www.wuxiaworld.com/novel/skyfire-avenue
Soul Land 2: The Unrivaled Tang Sect,Tang Jia San Shao (唐家三少),Chinese;Cultivation,63%,1737 Chapters,62,https://www.wuxiaworld.com/novel/the-unrivaled-tang-sect
Soul Land 3: Legend of the Dragon King,Tang Jia San Shao,Chinese;Romance;Fantasy;Comedy;Mystery;Xuanhuan;Action;Virtual Reality;Crafting;Modern Setting;Superpowers;Political Intrigue,67%,1985 Chapters,40,https://www.wuxiaworld.com/novel/legend-of-the-dragon-king
Sovereign of the Three Realms,Plow Days,Chinese;Fantasy;Comedy;Mystery;Xianxia,59%,2376 Chapters,157,https://www.wuxiaworld.com/novel/sovereign-of-the-three-realms
Spirit Realm,Ni Cang Tian ,Chinese;Fantasy;Mystery;Xuanhuan;Action;Mature,51%,1840 Chapters,31,https://www.wuxiaworld.com/novel/spirit-realm
